Designation,Experience,Employment_Status,Employee_Location,Company_Size
Data Scientist,Mid,FT,DE,L
Machine Learning Scientist,Senior,FT,JP,S
Big Data Engineer,Senior,FT,GB,M
Product Data Analyst,Mid,FT,HN,S
Machine Learning Engineer,Senior,FT,US,L
Data Analyst,Entry,FT,US,L
Lead Data Scientist,Senior,FT,US,S
Data Scientist,Mid,FT,HU,L
Business Data Analyst,Mid,FT,US,L
Lead Data Engineer,Senior,FT,NZ,S
Data Scientist,Entry,FT,FR,S
Data Scientist,Mid,FT,IN,L
Data Scientist,Entry,FT,FR,M
Lead Data Analyst,Mid,FT,US,L
Data Analyst,Mid,FT,US,L
Data Analyst,Mid,FT,PK,L
Data Engineer,Entry,FT,JP,S
Big Data Engineer,Senior,FT,PL,S
Data Science Consultant,Entry,FT,IN,M
Lead Data Engineer,Mid,FT,PT,M
Machine Learning Engineer,Mid,FT,CN,M
Product Data Analyst,Mid,FT,IN,L
Data Engineer,Senior,FT,GR,L
BI Data Analyst,Mid,FT,US,M
Lead Data Scientist,Mid,FT,AE,L
Director of Data Science,Executive,FT,US,L
Research Scientist,Entry,FT,NL,L
Data Engineer,Senior,FT,MX,S
Business Data Analyst,Entry,CT,US,L
Machine Learning Manager,Senior,FT,CA,L
Data Engineering Manager,Mid,FT,DE,S
Big Data Engineer,Entry,FT,US,L
Data Scientist,Senior,FT,GR,L
Research Scientist,Mid,FT,US,M
Data Analyst,Mid,FT,FR,L
Data Engineer,Mid,FT,AT,L
Data Science Consultant,Mid,FT,US,L
Machine Learning Engineer,Entry,FT,US,L
Data Analyst,Entry,FT,NG,S
Machine Learning Engineer,Entry,FT,US,S
Data Scientist,Mid,FT,PH,S
Data Engineering Manager,Executive,FT,ES,L
Machine Learning Infrastructure Engineer,Mid,FT,PT,M
Data Engineer,Mid,FT,US,L
Data Engineer,Mid,FT,GB,L
ML Engineer,Entry,PT,DE,S
Data Scientist,Mid,FT,GB,S
Data Engineer,Senior,FT,US,L
Data Scientist,Mid,FT,US,L
Data Engineer,Mid,FT,FR,L
Data Analyst,Entry,FT,IN,S
Data Analyst,Entry,FT,US,L
AI Scientist,Entry,FT,DK,S
Data Engineer,Entry,FT,PK,L
Computer Vision Engineer,Senior,FL,RU,S
Principal Data Scientist,Senior,FT,DE,M
Data Scientist,Mid,FT,ES,M
Data Scientist,Mid,FT,US,M
Data Scientist,Senior,FT,US,L
Data Scientist,Mid,FT,US,M
Data Engineer,Mid,FT,US,L
Data Engineer,Mid,FT,ES,M
Data Scientist,Entry,PT,IT,S
Data Scientist,Senior,FT,US,L
Machine Learning Engineer,Senior,FT,HR,S
Data Scientist,Entry,FT,DE,S
Data Scientist,Entry,FT,DE,S
Data Science Manager,Senior,FT,US,M
Data Scientist,Entry,FT,US,S
Data Scientist,Senior,FT,AT,S
Data Scientist,Mid,FT,FR,S
Data Scientist,Mid,FT,FR,S
Research Scientist,Entry,FT,GB,L
BI Data Analyst,Executive,FT,IN,L
Head of Data,Executive,FT,US,L
Data Scientist,Senior,FT,FR,L
BI Data Analyst,Mid,FT,US,M
3D Computer Vision Researcher,Mid,PT,IN,M
ML Engineer,Mid,CT,US,L
Data Analyst,Entry,FT,US,M
Data Analytics Engineer,Senior,FT,DE,L
Data Engineer,Mid,FT,US,L
Applied Data Scientist,Mid,FT,GB,L
Machine Learning Engineer,Mid,FT,ES,S
Director of Data Science,Executive,FT,IT,L
Data Engineer,Mid,FT,PL,L
Data Analyst,Entry,FT,FR,M
Data Analytics Engineer,Mid,FT,US,L
Lead Data Analyst,Senior,FT,US,L
Data Analyst,Senior,FT,BG,S
Marketing Data Analyst,Senior,FT,GR,L
Data Science Consultant,Entry,FT,DE,S
Lead Data Analyst,Mid,FT,IN,L
Lead Data Engineer,Senior,FT,US,L
Data Scientist,Entry,FT,IN,L
Cloud Data Engineer,Mid,FT,SG,L
AI Scientist,Entry,PT,BR,S
Financial Data Analyst,Mid,FT,US,L
Computer Vision Software Engineer,Entry,FT,US,M
Computer Vision Software Engineer,Mid,FT,DE,S
Data Analyst,Mid,FT,US,L
Data Engineer,Senior,FT,US,L
BI Data Analyst,Mid,FT,HU,L
Data Analyst,Mid,FT,US,L
Data Scientist,Mid,FT,US,L
Data Analyst,Mid,FT,GB,L
Research Scientist,Mid,FT,CA,L
Data Engineer,Senior,FT,US,S
Data Engineer,Senior,FT,US,M
Data Engineer,Entry,FT,IN,L
Machine Learning Engineer,Senior,FT,DE,L
Director of Data Engineering,Senior,FT,GB,M
Lead Data Engineer,Senior,FT,GB,S
AI Scientist,Entry,PT,PK,M
Data Engineer,Mid,FT,NL,L
Machine Learning Scientist,Entry,FT,US,L
Data Scientist,Mid,FT,NG,L
Data Science Engineer,Mid,FT,GR,M
Data Analyst,Entry,FT,US,S
Data Engineer,Mid,FT,US,L
Big Data Engineer,Mid,FT,ES,M
Principal Data Engineer,Senior,FT,US,M
Data Analyst,Entry,FT,US,M
Applied Data Scientist,Entry,FT,GB,L
Data Analyst,Entry,PT,ES,M
Principal Data Scientist,Mid,FT,US,L
Machine Learning Scientist,Senior,FT,US,S
Data Scientist,Mid,FT,IN,S
Machine Learning Engineer,Entry,FT,IN,S
Lead Data Scientist,Senior,FT,IN,L
Machine Learning Developer,Entry,FT,IQ,S
Data Scientist,Entry,FT,FR,M
Applied Machine Learning Scientist,Mid,FT,VN,M
Computer Vision Engineer,Senior,FT,BR,M
Data Scientist,Entry,FT,US,S
Data Analyst,Mid,FT,US,M
ML Engineer,Mid,FT,JP,S
ML Engineer,Mid,FT,JP,S
Principal Data Scientist,Senior,FT,US,L
Data Scientist,Entry,FT,US,M
Data Analyst,Mid,FT,US,L
Data Science Manager,Senior,FT,US,L
Data Engineering Manager,Senior,FT,US,L
Data Scientist,Mid,FT,US,S
Data Engineer,Mid,FT,US,L
Machine Learning Engineer,Senior,FT,BE,M
Research Scientist,Mid,FT,FR,M
Data Engineer,Mid,FT,US,L
Data Engineering Manager,Senior,FT,US,L
Cloud Data Engineer,Senior,FT,BR,S
Director of Data Science,Senior,FT,JP,S
Data Scientist,Mid,FT,US,M
Data Scientist,Mid,FT,CA,L
Data Scientist,Entry,FT,UA,L
Data Science Manager,Senior,FT,US,L
Data Science Engineer,Senior,FT,CA,L
Data Scientist,Mid,FT,SG,M
Applied Machine Learning Scientist,Mid,FT,US,L
Data Analytics Manager,Senior,FT,US,M
Machine Learning Engineer,Entry,FT,US,S
Head of Data,Executive,FT,RU,L
Head of Data Science,Executive,FT,RU,M
Data Engineer,Mid,FT,MT,L
Data Science Consultant,Entry,FT,DE,L
Director of Data Science,Executive,FT,DE,M
Data Specialist,Senior,FT,US,L
Data Engineer,Entry,FT,US,L
Director of Data Science,Executive,FT,US,L
BI Data Analyst,Entry,FT,US,S
Data Architect,Mid,FT,US,L
Data Architect,Mid,FT,US,L
Data Engineer,Mid,FT,GB,L
Data Analyst,Entry,FT,US,S
Principal Data Scientist,Senior,FT,US,L
Research Scientist,Senior,FT,PT,L
Data Engineering Manager,Senior,FT,US,L
Data Scientist,Mid,FT,MX,S
Data Scientist,Mid,FT,CL,L
Machine Learning Engineer,Entry,FT,US,S
Data Scientist,Mid,FT,IN,S
Big Data Engineer,Mid,FT,IN,L
Data Scientist,Mid,FT,DE,L
Data Engineer,Mid,FT,RO,L
Finance Data Analyst,Senior,FT,GB,L
Machine Learning Scientist,Mid,FL,PK,M
Data Engineer,Mid,FT,IR,M
Data Analytics Engineer,Senior,FT,VN,M
Data Science Consultant,Executive,FT,FR,S
Data Engineer,Senior,FT,RO,S
Machine Learning Engineer,Mid,FT,JP,S
Data Science Manager,Senior,FT,US,L
Machine Learning Engineer,Entry,FT,CO,M
Big Data Engineer,Mid,FT,MD,S
Data Science Manager,Senior,FT,US,L
Research Scientist,Senior,FT,CA,L
Data Scientist,Mid,FT,US,L
