Season,city,team1,team2,toss_winner,toss_decision,result,winner,player_of_match,venue,umpire1,umpire2
IPL,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Sunrisers Hyderabad,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong
IPL,Pune,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi
IPL,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan
IPL,Indore,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin
IPL,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,KM Jadhav,M Chinnaswamy Stadium,,
IPL,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong
IPL,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan
IPL,Indore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,Kings XI Punjab,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin
IPL,Pune,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Delhi Daredevils,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi
IPL,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan
IPL,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,SP Narine,Eden Gardens,A Deshmukh,NJ Llong
IPL,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary
IPL,Rajkot,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi
IPL,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Kolkata Knight Riders,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong
IPL,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,Delhi Daredevils,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon
IPL,Mumbai,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi
IPL,Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Rising Pune Supergiant,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin
IPL,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,Kolkata Knight Riders,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan
IPL,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh
IPL,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,Royal Challengers Bangalore,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma
IPL,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong
IPL,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin
IPL,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon
IPL,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi
IPL,Pune,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh
IPL,Rajkot,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,Kings XI Punjab,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus
IPL,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan
IPL,Mumbai,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,Rising Pune Supergiant,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi
IPL,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong
IPL,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin
IPL,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,G Gambhir,Eden Gardens,NJ Llong,S Ravi
